company_id,industry,company_size,mrr_usd,contract_type,tenure_months,active_users,api_calls_per_month,support_tickets_last_30d,feature_adoption_rate,last_login_days_ago,churn
50f64267,Finance,16,50.0,1 Year,12,5,91426,2,0.706,2,0
75e23810,Manufacturing,131,1089.74,2 Year,10,32,55454,1,0.586,12,0
ff955ce7,Technology,387,3276.11,Month-to-Month,5,143,101423,1,0.599,31,1
23ec8b06,E-commerce,8,463.52,Month-to-Month,23,3,8786,2,0.44,4,0
3021974f,Finance,712,6827.04,1 Year,16,369,72395,2,0.678,3,0
cde2f3ea,Finance,45,50.0,2 Year,49,13,44161,1,0.515,4,0
a3eae9b3,Healthcare,12,1351.89,Month-to-Month,1,5,38838,3,0.591,1,1
d73095a7,Technology,170,1414.7,Month-to-Month,25,69,65263,9,0.503,6,0
cb327b6c,E-commerce,27,50.0,Month-to-Month,35,5,15945,2,0.44,7,0
ee265225,Technology,48,1315.81,Month-to-Month,35,15,3876,1,0.559,1,0
5cf96278,Healthcare,29,50.0,Month-to-Month,53,9,34869,1,0.837,2,0
eeb6d0a1,Manufacturing,16,728.3,Month-to-Month,32,9,17986,3,0.505,2,0
57f1e428,Technology,161,1316.28,1 Year,64,73,14812,1,0.575,9,0
32fbd03d,Finance,35,50.0,2 Year,10,14,325865,2,0.547,12,0
732ceb62,Finance,6,912.86,2 Year,17,1,11023,1,0.473,3,0
2f463b12,Finance,124,1701.55,2 Year,1,25,13431,0,0.846,14,0
4db39a28,Finance,8,540.0,Month-to-Month,1,3,20314,1,0.328,23,1
bb178523,E-commerce,9,273.83,Month-to-Month,7,4,34358,0,0.583,7,0
d244d17d,E-commerce,326,3559.55,1 Year,3,106,101670,2,0.431,24,1
46b55f68,Finance,9,50.0,1 Year,8,3,9703,2,0.713,9,0
f38d0105,E-commerce,5,105.81,1 Year,5,1,47851,0,0.627,2,0
01fd84b6,Healthcare,138,915.62,Month-to-Month,1,57,22984,1,0.836,2,1
b7a77288,Finance,34,50.0,Month-to-Month,58,12,79706,1,0.747,8,0
98e0a3ac,Finance,39,595.48,Month-to-Month,1,18,46050,2,0.616,2,0
20e034fe,E-commerce,34,919.07,Month-to-Month,32,17,79260,3,0.749,0,0
4fc823ae,Technology,77,578.32,Month-to-Month,4,23,96582,10,0.767,3,1
4d8ada1f,Finance,17,63.99,2 Year,59,4,121594,3,0.417,0,0
57024685,E-commerce,499,4420.92,Month-to-Month,54,159,272186,0,0.755,22,0
85e173da,E-commerce,5,53.61,2 Year,26,2,48229,0,0.659,11,0
9436a8a5,Healthcare,106,1440.04,2 Year,27,46,50741,1,0.698,0,0
4a6e87f2,E-commerce,143,1825.76,1 Year,1,68,7574,1,0.518,0,0
07c0c669,Finance,17,442.59,2 Year,101,8,5551,2,0.429,0,0
